Title,Category,SubCategory,Frequency,ParentExists,Child,Discontinued
CPI - Lemon (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Library charges (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Lighter (bidi/ cigarette/ gas stove) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Lock (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - LPG [excl. conveyance] (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Lubricants & other fuels for vehicle (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Lungi (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Maida (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Maize & products (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Mango (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Masur (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Matches (box) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Meat and Fish (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Meat and Fish (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Meat and Fish (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Medicine (non-institutional) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Milk and Products (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Milk and Products (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Milk and Products (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Milk: condensed/powder (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Milk: liquid (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Mineral water (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Miscellaneous (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Miscellaneous (Rural, 2012 series)",Inflation,CPI,Monthly,Y,Y,N
"CPI - Miscellaneous (Urban, 2012 series)",Inflation,CPI,Monthly,Y,Y,N
CPI - Mobile handset (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Monthly charges for cable TV connection (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Monthly maintenance charges (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Moong (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Mosquito net (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Mosquito repellent, insecticide, acid etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Motor car, jeep (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Motor cycle, scooter (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Muri (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Mustard oil (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Newspapers, periodicals (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Non-Alcoholic Beverages (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Non-Alcoholic Beverages (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Non-Alcoholic Beverages (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Oils and Fats (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Oils and Fats (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
